iter	Passed	Remaining
0	148	148769
1	151	75403
2	152	50809
3	155	38606
4	157	31343
5	160	26533
6	162	23033
7	165	20463
8	167	18488
9	169	16787
10	172	15494
11	174	14356
12	176	13412
13	179	12622
14	182	11972
15	186	11454
16	189	10952
17	191	10453
18	193	9971
19	194	9548
20	196	9182
21	199	8853
22	200	8531
23	202	8244
24	204	7960
25	205	7695
26	206	7450
27	207	7220
28	209	7006
29	210	6798
30	211	6607
31	212	6437
32	214	6272
33	215	6111
34	216	5964
35	218	5840
36	219	5703
37	220	5574
38	220	5445
39	221	5321
40	222	5204
41	223	5097
42	225	5008
43	226	4923
44	228	4853
45	230	4776
46	231	4698
47	233	4628
48	234	4559
49	236	4490
50	238	4435
51	240	4376
52	243	4344
53	245	4293
54	246	4243
55	248	4189
56	249	4135
57	251	4084
58	254	4053
59	255	4002
60	256	3949
61	257	3897
62	258	3848
63	259	3802
64	261	3757
65	262	3714
66	263	3671
67	264	3629
68	266	3601
69	268	3570
70	270	3533
71	270	3492
72	272	3455
73	273	3426
74	274	3391
75	276	3357
76	277	3322
77	278	3288
78	279	3257
79	280	3228
80	282	3202
81	283	3173
82	284	3138
83	285	3112
84	286	3085
85	287	3059
86	289	3033
87	290	3009
88	291	2987
89	293	2964
90	294	2941
91	295	2917
92	296	2893
93	298	2875
94	299	2854
95	301	2834
96	302	2813
97	303	2793
98	304	2774
99	306	2760
100	309	2754
101	311	2740
102	312	2723
103	314	2706
104	315	2685
105	316	2668
106	317	2650
107	318	2634
108	320	2618
109	321	2600
110	323	2590
111	324	2576
112	326	2565
113	327	2548
114	328	2531
115	330	2516
116	331	2499
117	332	2483
118	334	2472
119	335	2459
120	337	2450
121	338	2434
122	339	2421
123	341	2409
124	342	2398
125	343	2384
126	344	2369
127	345	2356
128	347	2345
129	349	2336
130	351	2332
131	352	2320
132	354	2310
133	355	2299
134	357	2289
135	358	2277
136	360	2269
137	361	2258
138	362	2247
139	364	2236
140	366	2229
141	366	2217
142	368	2207
143	369	2198
144	371	2189
145	372	2178
146	373	2167
147	374	2156
148	375	2145
149	376	2134
150	377	2124
151	379	2114
152	380	2105
153	381	2094
154	382	2083
155	383	2072
156	384	2062
157	384	2051
158	386	2041
159	387	2033
160	387	2021
161	388	2011
162	389	2001
163	391	1993
164	391	1983
165	393	1974
166	394	1965
167	395	1956
168	395	1947
169	396	1938
170	397	1929
171	399	1920
172	400	1912
173	401	1904
174	402	1895
175	403	1886
176	404	1878
177	404	1870
178	405	1862
179	407	1855
180	408	1848
181	409	1840
182	410	1832
183	411	1824
184	412	1817
185	413	1810
186	414	1802
187	415	1795
188	416	1787
189	417	1779
190	418	1772
191	419	1765
192	420	1757
193	421	1751
194	422	1744
195	424	1739
196	425	1735
197	427	1729
198	428	1723
199	429	1717
200	430	1710
201	431	1704
202	432	1699
203	434	1693
204	435	1688
205	436	1684
206	438	1679
207	440	1676
208	441	1670
209	442	1663
210	443	1657
211	444	1651
212	445	1645
213	446	1640
214	447	1634
215	448	1628
216	449	1622
217	450	1617
218	452	1612
219	453	1608
220	454	1603
221	456	1598
222	457	1593
223	458	1587
224	459	1581
225	460	1575
226	461	1570
227	462	1564
228	463	1559
229	464	1554
230	465	1550
231	467	1546
232	468	1541
233	469	1535
234	470	1530
235	471	1525
236	472	1519
237	472	1514
238	474	1509
239	474	1504
240	475	1498
241	476	1493
242	477	1488
243	478	1483
244	480	1479
245	481	1475
246	482	1471
247	484	1467
248	485	1463
249	486	1458
250	486	1453
251	487	1448
252	488	1443
253	489	1438
254	490	1433
255	491	1428
256	492	1424
257	493	1420
258	495	1416
259	496	1411
260	497	1407
261	497	1402
262	498	1398
263	499	1393
264	500	1389
265	501	1385
266	503	1380
267	503	1376
268	504	1371
269	505	1367
270	508	1368
271	509	1364
272	510	1360
273	512	1357
274	513	1353
275	514	1349
276	515	1345
277	516	1340
278	517	1337
279	518	1334
280	520	1330
281	521	1326
282	522	1323
283	523	1319
284	524	1316
285	525	1312
286	527	1309
287	527	1305
288	528	1301
289	529	1297
290	530	1293
291	532	1290
292	533	1287
293	534	1283
294	535	1280
295	536	1277
296	538	1273
297	539	1269
298	540	1266
299	541	1262
300	542	1259
301	543	1255
302	544	1252
303	545	1248
304	546	1244
305	547	1240
306	548	1237
307	549	1233
308	550	1230
309	551	1227
310	552	1223
311	553	1220
312	554	1217
313	555	1213
314	556	1210
315	557	1206
316	558	1203
317	559	1199
318	560	1196
319	561	1192
320	562	1189
321	563	1186
322	564	1183
323	565	1179
324	566	1176
325	567	1172
326	568	1169
327	569	1166
328	570	1163
329	571	1161
330	572	1157
331	573	1154
332	574	1151
333	576	1149
334	577	1146
335	578	1143
336	579	1140
337	580	1136
338	581	1133
339	582	1130
340	583	1127
341	584	1124
342	585	1121
343	586	1118
344	587	1114
345	588	1112
346	589	1108
347	590	1105
348	591	1102
349	592	1100
350	593	1097
351	594	1093
352	595	1090
353	595	1087
354	597	1084
355	598	1082
356	599	1079
357	600	1076
358	601	1073
359	602	1070
360	603	1067
361	604	1064
362	605	1062
363	606	1060
364	607	1057
365	608	1054
366	609	1051
367	610	1048
368	611	1046
369	612	1043
370	613	1040
371	614	1037
372	615	1035
373	616	1032
374	617	1029
375	618	1026
376	619	1023
377	620	1021
378	621	1018
379	622	1016
380	623	1013
381	624	1010
382	625	1008
383	626	1005
384	627	1002
385	628	999
386	629	996
387	630	994
388	631	991
389	632	988
390	633	986
391	634	983
392	635	981
393	636	979
394	637	976
395	638	974
396	640	972
397	641	969
398	642	967
399	643	964
400	643	961
401	644	959
402	645	956
403	646	954
404	647	951
405	648	948
406	650	947
407	652	946
408	653	944
409	654	942
410	656	940
411	657	938
412	658	936
